Assunto,Aberto,Agendado,Cancelado,Concluído,Em andamento,Pendente,Total
Animais - Outros,0,0,0,0,0,0,0
Denúncia - Descarte Irregular - DESCARTE IRREGULAR DE LIXO E ENTULHO,61,0,0,227,33,1,322
Denúncia - Descarte Irregular - Outros,0,0,0,0,0,0,0
Direitos Humanos - Denúncias de discriminação e violências - Capacitismo,0,0,0,0,0,0,0
Direitos Humanos - Denúncias de discriminação e violências - Homofobia,0,0,0,0,0,0,0
Direitos Humanos - Denúncias de discriminação e violências - Intolerância Religiosa,0,0,0,0,0,0,0
Direitos Humanos - Denúncias de discriminação e violências - Outros,0,0,0,1,0,0,1
Direitos Humanos - Denúncias de discriminação e violências - Racismo ou injúria racial,0,0,0,1,0,0,1
Direitos Humanos - Denúncias de discriminação e violências - Transfobia,0,0,0,0,0,0,0
Direitos Humanos - Denúncias de discriminação e violências - Violência contra a Mulher,0,0,0,0,0,0,0
Direitos Humanos - Denúncias de discriminação e violências - Xenofobia,0,0,0,0,0,0,0
LGPD - Lei Geral de Proteção de Dados - Denuncia de vazamento de dados da LGPD,0,0,40,7,0,0,47
PAT - Posto de Atendimento do Trabalhador - Outros,0,0,0,0,0,0,0
PAT - Posto de Atendimento do Trabalhador - Solicitar informações ao PAT,0,0,0,0,0,0,0
Secretaria de Agronegócios e Áreas Rurais - ALVARÁ DE AMBULANTE,1,0,0,19,1,0,21
Secretaria de Agronegócios e Áreas Rurais - ESTRADAS RURAIS- MANUTENÇÃO E LIMPEZA,1,0,65,160,83,1,310
Secretaria de Agronegócios e Áreas Rurais - Outros,0,0,0,0,0,0,0
Secretaria de Comunicação - ACESSO À INFORMAÇÃO,0,0,0,1,0,0,1
Secretaria de Comunicação - ATENDIMENTO 156,0,0,0,0,0,0,0
Secretaria de Comunicação - DENÚNCIA OUVIDORIA,1,0,1,42,0,0,44
Secretaria de Comunicação - ELOGIO OUVIDORIA,0,0,0,15,0,0,15
Secretaria de Comunicação - ORIENTAÇÃO GERAL,0,0,9,10276,0,0,10285
