Bairro,Denúncia,Doação,Elogio,Informação,Reclamação,Simplifique,Solicitação,Sugestão,Total
Anavec,19,0,0,0,1,0,203,4,227
Área Rural de Limeira,29,0,0,1,1,0,301,4,336
Bairro da Geada,9,0,0,1,0,0,21,0,31
Bairro dos Frades,0,0,0,0,0,0,9,0,9
Bairro dos Loiolas,0,0,0,0,2,0,38,0,40
Bairro dos Lopes,3,0,0,2,0,0,26,0,31
Bairro dos Pires,10,0,0,0,4,0,80,2,96
Bairro Ferrão,0,0,0,0,0,0,5,0,5
Bairro Pires,3,0,0,0,0,0,19,2,24
Bairro São Francisco,7,0,0,0,0,0,13,2,22
Boa Vista,47,0,0,3,4,0,357,9,420
Campos Elíseos,9,0,0,1,0,0,8,0,18
Centro,153,0,22,10116,99,0,807,98,11295
Centro Industrial de Limeira - Cil,1,0,0,8,0,0,6,0,15
Chácara Antonieta,15,0,0,1,8,0,65,3,92
Chácara Boa Vista da Graminha,1,0,0,0,0,0,11,0,12
Chácara Santa Paula,0,0,0,0,0,0,10,0,10
Chácara São José,1,0,0,0,0,0,17,3,21
Colinas do Engenho,6,0,0,0,2,0,155,7,170
Condomínio Industrial Duas Barras,0,0,0,0,0,0,9,1,10
Conjunto Residencial Víctor D'andrea (CECAP),27,0,0,0,1,0,407,10,445
Desmembramento O Área Breda,0,0,0,0,0,0,4,0,4
Distrito Industrial Prefeito S Fumagalli,0,0,0,0,0,0,1,0,1
Distrito São Lucas Ii,0,0,0,0,0,0,6,0,6
Doutor João Batista Levy,0,0,0,0,0,0,10,0,10
Geada,16,0,0,0,1,0,46,1,64
Gleba Beatriz,9,0,0,0,0,0,32,0,41
Jardim Adélia Cavicchia Grotta,11,0,0,0,0,0,39,9,59
Jardim Águas da Serra,3,0,0,0,0,0,49,1,53
Jardim Alvorada,13,0,0,0,0,0,138,1,152
Jardim Anhanguera,3,0,0,0,0,0,92,0,95
Jardim Aquarius,6,0,0,0,3,0,45,3,57
Jardim Area S III,0,0,0,0,0,0,0,0,0
Jardim Arruda,1,0,0,0,0,0,9,0,10
Jardim Bandeirantes,0,0,0,0,3,0,125,0,128
Jardim Barão de Limeira,8,0,0,0,7,0,186,6,207
Jardim Barão de Souza Queiroz,0,0,0,0,0,0,2,0,2
Jardim Bartolomeu Grotta,11,0,0,0,1,0,77,3,92
Jardim Bela Vista,0,0,0,0,0,0,43,0,43
Jardim Boa Esperança,12,0,0,1,1,0,135,1,150
Jardim Boa Vista,10,0,0,0,0,0,104,6,120
Jardim Brasil,3,0,0,0,0,0,105,0,108
Jardim Caieira,22,0,0,0,6,0,108,3,139
Jardim Campo Belo,19,0,0,0,11,0,208,7,245
Jardim Campo Verde I,2,0,0,0,0,0,114,0,116
Jardim Campo Verde II,1,0,0,0,0,0,12,0,13
Jardim Canaã,2,0,0,0,0,0,77,0,79
Jardim Cavinato,2,0,0,0,0,0,67,1,70
Jardim Celina,5,0,0,0,0,0,40,0,45
Jardim Chs de Recreio Santa Helena,0,0,0,0,0,0,2,0,2
Jardim Cidade Universitária I,8,0,0,0,1,0,78,0,87
Jardim Colina Verde,12,0,0,0,1,0,82,8,103
Jardim Colinas de São João,0,0,0,0,0,0,34,1,35
Jardim Colonial,0,0,0,0,0,0,1,0,1
Jardim Consoli,1,0,0,0,0,0,17,0,18
Jardim da Graminha,1,0,0,0,0,0,6,0,7
Jardim das Paineiras,0,0,0,0,0,0,25,1,26
Jardim do Lago,19,0,0,0,5,0,152,7,183
Jardim Dom Oscar Romeiro,2,0,0,0,0,0,8,0,10
Jardim dos Jequitibas,19,0,0,0,3,0,109,3,134
Jardim Doutor João Batista Levy,0,0,0,0,0,0,17,0,17
Jardim Elite,1,0,0,0,0,0,18,0,19
Jardim Ernesto Kuhl,27,0,0,0,0,0,89,2,118
Jardim Esmeralda,7,0,0,0,7,0,99,4,117
Jardim Esteves,2,0,0,0,0,0,53,2,57
Jardim Florença,8,0,0,0,1,0,116,2,127
Jardim Glória,13,0,0,0,1,0,169,6,189
Jardim Graminha,13,0,0,1,1,0,66,5,86
Jardim Grêmio,0,0,0,0,0,0,24,0,24
Jardim Gustavo Picinini,21,0,0,0,2,0,156,5,184
Jardim Hortência,10,0,0,0,1,0,176,2,189
Jardim Ibirapuera,4,0,0,0,1,0,115,3,123
Jardim Ipanema,9,0,0,0,0,0,70,4,83
Jardim Ipiranga,2,0,0,0,0,0,39,2,43
Jardim José Cortez,6,0,0,0,0,0,66,0,72
Jardim Kelly,0,0,0,0,0,0,6,0,6
Jardim Lagoa Nova,39,0,0,1,0,0,143,4,187
Jardim Laranjeiras,16,0,0,0,6,0,113,17,152
Jardim Largo Azul,2,0,0,0,0,0,9,0,11
Jardim Limeiranea,0,0,0,0,0,0,28,1,29
Jardim Manacá,9,0,0,0,0,0,58,0,67
Jardim Manoel Francisco,1,0,0,0,0,0,23,2,26
Jardim Maria Buchi Modeneis,3,0,0,0,0,0,44,9,56
Jardim Maria Flora,2,0,0,0,0,0,25,0,27
Jardim Maria Helena,0,0,0,0,0,0,16,0,16
Jardim Mediterrâneo,1,0,0,0,1,0,47,1,50
Jardim Mercedes,3,0,0,0,2,0,85,29,119
Jardim Monte Carlo,0,0,0,0,0,0,4,0,4
Jardim Montezuma,5,0,1,0,1,0,185,2,194
Jardim Morro Azul,24,0,0,0,4,0,84,5,117
Jardim Morro Branco,8,0,0,0,1,0,63,1,73
Jardim Nereide,2,0,0,1,1,0,85,6,95
Jardim Nossa Senhora Amparo,0,0,0,0,0,0,1,0,1
Jardim Nossa Senhora de Fátima,10,0,0,0,3,0,59,3,75
Jardim Nossa Senhora do Amparo,13,0,0,0,0,0,56,7,76
Jardim Nova Conquista,0,0,0,0,0,0,31,0,31
Jardim Nova Europa,33,0,0,0,3,0,117,5,158
Jardim Nova Limeira,15,0,0,1,4,0,96,2,118
Jardim Nova Suíça,33,0,0,1,2,0,404,1,441
Jardim Novo Horizonte,18,0,1,1,2,0,179,4,205
Jardim Novo México,0,0,0,0,0,0,11,0,11
Jardim Odécio Degan,5,0,0,0,1,0,28,0,34
Jardim Olga Veroni,73,0,0,0,9,0,273,1,356
Jardim Orestes Veroni,12,0,0,0,0,0,99,1,112
Jardim Ouro Branco,3,0,0,0,1,0,28,2,34
Jardim Ouro Verde,24,0,0,0,2,0,124,6,156
Jardim Palmeiras,8,0,0,0,2,0,30,1,41
Jardim Parque Avenida,0,0,0,0,0,0,12,0,12
Jardim Paulista,7,0,0,0,0,0,33,0,40
Jardim Pérola,7,0,0,0,0,0,23,0,30
Jardim Piratininga,22,0,1,1,3,0,315,19,361
Jardim Planalto,28,0,0,1,2,0,231,2,264
