bairro,aberto,agendado,cancelado,concluido,em_andamento,pendente,total
Anavec,8,0,3,192,23,1,227
Area Rural de Limeira,19,0,44,203,69,1,336
Bairro da Geada,1,0,0,26,4,0,31
Bairro dos Frades,0,0,2,6,1,0,9
Bairro dos Loiolas,13,0,3,18,6,0,40
Bairro dos Lopes,4,0,5,16,6,0,31
Bairro dos Pires,6,0,4,69,17,0,96
Bairro Ferrao,0,0,4,0,1,0,5
Bairro Pires,5,0,2,13,4,0,24
Bairro Sao Francisco,2,0,0,17,3,0,22
Boa Vista,35,0,10,344,31,0,420
Campos Eliseos,4,0,1,12,1,0,18
Centro,127,0,35,11039,93,1,11295
Centro Industrial de Limeira Cil,1,0,0,13,1,0,15
Chacara Antonieta,10,0,3,57,22,0,92
Chacara Boa Vista da Graminha,0,0,3,8,1,0,12
Chacara Santa Paula,0,0,0,5,5,0,10
Chacara Sao Jose,2,0,0,15,4,0,21
Colinas do Engenho,6,0,1,146,16,1,170
Condominio Industrial Duas Barras,1,0,1,6,2,0,10
Conjunto Residencial Victor Dandrea CECAP,18,0,4,379,44,0,445
Desmembramento O Area Breda,1,0,0,3,0,0,4
Distrito Industrial Prefeito S Fumagalli,0,0,0,1,0,0,1
Distrito Sao Lucas Ii,1,0,0,5,0,0,6
Doutor Joao Batista Levy,0,0,1,8,1,0,10
Geada,9,0,0,47,8,0,64
Gleba Beatriz,6,0,0,32,3,0,41
Jardim Adelia Cavicchia Grotta,0,0,0,57,2,0,59
Jardim Aguas da Serra,5,0,0,47,1,0,53
Jardim Alvorada,6,0,1,120,25,0,152
Jardim Anhanguera,6,0,1,81,7,0,95
Jardim Aquarius,7,0,6,39,5,0,57
Jardim Area S III,0,0,0,0,0,0,0
Jardim Arruda,4,0,0,5,1,0,10
Jardim Bandeirantes,3,0,2,110,13,0,128
Jardim Barao de Limeira,11,0,2,183,11,0,207
Jardim Barao de Souza Queiroz,0,0,0,2,0,0,2
Jardim Bartolomeu Grotta,4,0,2,71,15,0,92
Jardim Bela Vista,0,0,0,32,10,1,43
Jardim Boa Esperanca,9,0,1,114,25,1,150
Jardim Boa Vista,10,0,0,99,10,1,120
Jardim Brasil,2,0,2,86,16,2,108
Jardim Caieira,15,0,5,102,16,1,139
Jardim Campo Belo,11,0,2,207,24,1,245
Jardim Campo Verde I,1,0,0,101,14,0,116
Jardim Campo Verde II,0,0,0,12,1,0,13
Jardim Canaa,13,0,0,53,13,0,79
Jardim Cavinato,7,0,0,58,5,0,70
Jardim Celina,2,0,0,35,8,0,45
Jardim Chs de Recreio Santa Helena,0,0,1,1,0,0,2
Jardim Cidade Universitaria I,20,0,0,63,4,0,87
Jardim Colina Verde,7,0,2,63,9,22,103
Jardim Colinas de Sao Joao,3,0,1,23,8,0,35
Jardim Colonial,0,0,0,1,0,0,1
Jardim Consoli,0,0,1,15,2,0,18
Jardim da Graminha,0,0,0,5,2,0,7
Jardim das Paineiras,5,0,0,8,13,0,26
Jardim do Lago,15,0,2,136,25,5,183
Jardim Dom Oscar Romeiro,1,0,0,7,2,0,10
Jardim dos Jequitibas,13,0,0,96,22,3,134
Jardim Doutor Joao Batista Levy,0,0,0,15,2,0,17
Jardim Elite,1,0,6,10,2,0,19
Jardim Ernesto Kuhl,5,0,3,101,9,0,118
Jardim Esmeralda,6,0,1,94,16,0,117
