secretaria,denuncia,doacao,elogio,informacao,reclamacao,simplifique,solicitacao,sugestao,total
Animais Outros,0,0,0,0,0,0,0,0,0
Denuncia Descarte Irregular DESCARTE IRREGULAR DE LIXO E ENTULHO,27,0,0,0,0,0,23,0,50
Denuncia Descarte Irregular Outros,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Capacitismo,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Homofobia,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Intolerancia Religiosa,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Outros,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Racismo ou injuria racial,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Transfobia,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Violencia contra a Mulher,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Xenofobia,0,0,0,0,0,0,0,0,0
LGPD Lei Geral de Protecao de Dados Denuncia de vazamento de dados da LGPD,0,0,0,0,0,0,2,0,2
LGPD Lei Geral de Protecao de Dados Outros,0,0,0,0,0,0,0,0,0
PAT Posto de Atendimento do Trabalhador Outros,0,0,0,0,0,0,0,0,0
PAT Posto de Atendimento do Trabalhador Solicitar informacoes ao PAT,0,0,0,0,0,0,0,0,0
Secretaria de Agronegocios e Areas Rurais ALVARA DE AMBULANTE,1,0,0,0,0,0,0,0,1
Secretaria de Agronegocios e Areas Rurais ESTRADAS RURAIS MANUTENCAO E LIMPEZA,0,0,0,0,0,0,8,0,8
Secretaria de Agronegocios e Areas Rurais Outros,0,0,0,0,0,0,0,0,0
Secretaria de Comunicacao ACESSO A INFORMACAO,0,0,0,0,0,0,0,0,0
Secretaria de Comunicacao ATENDIMENTO 156,0,0,0,0,0,0,0,0,0
Secretaria de Comunicacao DENUNCIA OUVIDORIA,7,0,0,0,0,0,0,0,7
Secretaria de Comunicacao ELOGIO OUVIDORIA,0,0,1,0,0,0,0,0,1
Secretaria de Comunicacao ORIENTACAO GERAL,0,0,0,0,0,0,3,0,3
Secretaria de Comunicacao RECLAMACAO OUVIDORIA,0,0,0,0,17,0,0,0,17
Secretaria de Comunicacao SUGESTAO OUVIDORIA,0,0,0,0,0,0,0,3,3
Secretaria de Esportes e Lazer SUGESTAO PARA ESPORTES,0,0,0,0,0,0,0,3,3
Secretaria de Fazenda ALVARA DE FUNCIONAMENTO,3,0,0,0,2,0,26,0,31
Secretaria de Fazenda ALVARA DE TRAILERS,0,0,0,0,0,0,1,0,1
Secretaria de Fazenda Falta de remedio,0,0,0,0,0,0,0,0,0
Secretaria de Fazenda FISCALIZACAO DE OUTDOOR,0,0,0,0,0,0,1,0,1
Secretaria de Fazenda Outros,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento ARVORE EM AREA PUBLICA,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento COMERCIO DE CEROL,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento DENUNCIA DE PODA E REMOCAO IRREGULAR E DESMATAMENTO DE ARVORES,6,0,0,0,0,0,0,0,6
Secretaria de Meio Ambiente e Saneamento FISCALIZACAO MA,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento OCUPACAO DE AREAS VERDES,0,0,0,0,0,0,4,0,4
Secretaria de Meio Ambiente e Saneamento OCUPACAO IRREGULAR DE AREA VERDE,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento Outros,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento PLANTIO DE ARVORE,0,0,0,0,0,0,4,0,4
Secretaria de Meio Ambiente e Saneamento Poda de Arvores,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento POLUICAO AMBIENTAL,0,0,0,0,0,0,13,0,13
Secretaria de Meio Ambiente e Saneamento PRACA CAPINACAO,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento PRACA LIMPEZA E VARRICAO,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento PRACASBOSQUESPARQUES ESPECIFICOS,0,0,0,0,0,0,5,0,5
Secretaria de Meio Ambiente e Saneamento QUEIMADA EM LOTES URBANOS,0,0,0,0,0,0,2,0,2
Secretaria de Meio Ambiente e Saneamento VAZAMENTO DE FOSSA OU LANCAMENTO IRREGULAR DE ESGOTO,0,0,0,0,1,0,0,0,1
Secretaria de Meio Ambiente e Saneamento VISTORIA DE ARVORES EM AREAS PUBLICAS,3,0,0,0,0,0,7,0,10
Secretaria de Obras e Servicos Publicos AFUNDAMENTO DE ASFALTO,0,0,0,0,0,0,8,0,8
Secretaria de Obras e Servicos Publicos ARVORE CAIDA,0,0,0,0,0,0,1,0,1
Secretaria de Obras e Servicos Publicos BUEIROS DESENTUPIMENTO,0,0,0,0,0,0,1,0,1
Secretaria de Obras e Servicos Publicos BUEIROS LIMPEZA,0,0,0,0,0,0,6,0,6
Secretaria de Obras e Servicos Publicos Buraco na rua,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA BURACO,0,0,0,0,0,0,10,0,10
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA CONSTRUCAO,0,0,0,0,0,0,2,0,2
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA LIMPEZA,0,0,0,0,0,0,3,0,3
Secretaria de Obras e Servicos Publicos CAPINACAO DE AREA PUBLICA,0,0,0,0,0,0,26,1,27
Secretaria de Obras e Servicos Publicos CAPINACAO DE PRACA,0,0,0,0,0,0,16,0,16
Secretaria de Obras e Servicos Publicos Codigo de Posturas Demandas Internas,0,0,0,1,0,0,4,0,5
Secretaria de Obras e Servicos Publicos CONSERTO DE CALCADAS APOS REMOCAO REALIZADA PELA PREFEITURA,0,0,0,0,0,0,2,0,2
Secretaria de Obras e Servicos Publicos Demandas Internas MANUTENCAO E LIMPEZA DE ESTRADAS RURAIS,0,0,0,0,0,0,1,0,1
Secretaria de Obras e Servicos Publicos Desassoreamento de Corregos,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos ECOPONTO,0,0,0,0,1,0,1,0,2
Secretaria de Obras e Servicos Publicos ENTULHO REMOCAO,0,0,0,0,0,0,5,0,5
Secretaria de Obras e Servicos Publicos FECHAMENTO DE TERRENO CASA,0,0,0,0,0,0,5,0,5
