assunto,denuncia,doacao,elogio,informacao,reclamacao,simplifique,solicitacao,sugestao,total
Animais Outros,0,0,0,0,0,0,0,0,0
Denuncia Descarte Irregular DESCARTE IRREGULAR DE LIXO E ENTULHO,172,0,0,0,0,0,150,0,322
Denuncia Descarte Irregular Outros,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Capacitismo,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Homofobia,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Intolerancia Religiosa,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Outros,0,0,0,0,1,0,0,0,1
Direitos Humanos Denuncias de discriminacao e violencias Racismo ou injuria racial,1,0,0,0,0,0,0,0,1
Direitos Humanos Denuncias de discriminacao e violencias Violencia contra a Mulher,0,0,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Xenofobia,0,0,0,0,0,0,0,0,0
LGPD Lei Geral de Protecao de Dados Denuncia de vazamento de dados da LGPD,17,0,0,0,0,0,30,0,47
LGPD Lei Geral de Protecao de Dados Outros,0,0,0,0,0,0,0,0,0
PAT Posto de Atendimento do Trabalhador Outros,0,0,0,0,0,0,0,0,0
PAT Posto de Atendimento do Trabalhador Solicitar informacoes ao PAT,0,0,0,0,0,0,0,0,0
Secretaria de Agronegocios e Areas Rurais ALVARA DE AMBULANTE,2,0,0,0,0,0,18,1,21
Secretaria de Agronegocios e Areas Rurais ESTRADAS RURAIS MANUTENCAO E LIMPEZA,0,0,0,0,1,0,308,1,310
Secretaria de Agronegocios e Areas Rurais Outros,0,0,0,0,0,0,0,0,0
Secretaria de Comunicacao ACESSO A INFORMACAO,0,0,0,1,0,0,0,0,1
Secretaria de Comunicacao ATENDIMENTO 156,0,0,0,0,0,0,0,0,0
Secretaria de Comunicacao DENUNCIA OUVIDORIA,43,0,0,0,0,0,1,0,44
Secretaria de Comunicacao ELOGIO OUVIDORIA,0,0,15,0,0,0,0,0,15
Secretaria de Comunicacao ORIENTACAO GERAL,1,0,0,10264,0,0,20,0,10285
Secretaria de Comunicacao RECLAMACAO OUVIDORIA,0,0,0,2,115,0,3,0,120
Secretaria de Comunicacao SUGESTAO OUVIDORIA,0,0,0,0,0,0,0,37,37
Secretaria de Esportes e Lazer SUGESTAO PARA ESPORTES,0,0,0,0,1,0,3,95,99
Secretaria de Fazenda ALVARA DE FUNCIONAMENTO,43,0,0,0,10,0,439,3,495
Secretaria de Fazenda ALVARA DE TRAILERS,0,0,0,0,0,0,43,0,43
Secretaria de Fazenda Falta de remedio,0,0,0,0,0,0,0,0,0
Secretaria de Fazenda FISCALIZACAO DE OUTDOOR,0,0,0,0,0,0,12,0,12
Secretaria de Fazenda Outros,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento ARVORE EM AREA PUBLICA,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento COMERCIO DE CEROL,2,0,0,0,0,0,0,0,2
Secretaria de Meio Ambiente e Saneamento DENUNCIA DE PODA E REMOCAO IRREGULAR E DESMATAMENTO DE ARVORES,64,0,0,0,0,0,3,1,68
Secretaria de Meio Ambiente e Saneamento DESPERDICIO DE AGUA,57,0,0,0,0,0,0,0,57
Secretaria de Meio Ambiente e Saneamento FISCALIZACAO MA,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento OCUPACAO DE AREAS VERDES,2,0,0,0,0,0,66,0,68
Secretaria de Meio Ambiente e Saneamento OCUPACAO IRREGULAR DE AREA VERDE,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento Outros,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento PLANTIO DE ARVORE,1,0,0,0,0,0,108,0,109
Secretaria de Meio Ambiente e Saneamento Poda de Arvores,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento POLUICAO AMBIENTAL,1,0,0,0,0,0,131,0,132
Secretaria de Meio Ambiente e Saneamento PRACA CAPINACAO,0,0,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento PRACA LIMPEZA E VARRICAO,0,0,0,0,0,0,5,0,5
Secretaria de Meio Ambiente e Saneamento PRACASBOSQUESPARQUES ESPECIFICOS,2,0,0,0,1,0,53,2,58
Secretaria de Meio Ambiente e Saneamento QUEIMADA EM LOTES URBANOS,0,0,0,0,0,0,23,0,23
Secretaria de Meio Ambiente e Saneamento VAZAMENTO DE FOSSA OU LANCAMENTO IRREGULAR DE ESGOTO,2,0,0,0,3,0,5,0,10
Secretaria de Meio Ambiente e Saneamento VISTORIA DE ARVORES EM AREAS PUBLICAS,8,0,0,0,0,0,74,0,82
Secretaria de Obras e Servicos Publicos AFUNDAMENTO DE ASFALTO,3,0,0,0,1,0,163,4,171
Secretaria de Obras e Servicos Publicos ARVORE CAIDA,1,0,0,0,0,0,94,0,95
Secretaria de Obras e Servicos Publicos BUEIROS DESENTUPIMENTO,0,0,0,0,0,0,70,0,70
Secretaria de Obras e Servicos Publicos BUEIROS LIMPEZA,0,0,0,0,0,0,167,0,167
Secretaria de Obras e Servicos Publicos Buraco na rua,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA BURACO,0,0,0,0,0,0,72,0,72
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA CONSTRUCAO,0,0,0,0,0,0,53,2,55
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA LIMPEZA,1,0,0,0,1,0,98,0,100
Secretaria de Obras e Servicos Publicos CAPINACAO DE AREA PUBLICA,5,0,0,2,2,0,930,5,944
Secretaria de Obras e Servicos Publicos CAPINACAO DE PRACA,1,0,0,0,1,0,393,0,395
Secretaria de Obras e Servicos Publicos Codigo de Posturas Demandas Internas,6,0,0,1,4,0,23,2,36
Secretaria de Obras e Servicos Publicos CONSERTO DE CALCADAS APOS REMOCAO REALIZADA PELA PREFEITURA,0,0,0,0,0,0,64,0,64
Secretaria de Obras e Servicos Publicos Demandas Internas MANUTENCAO E LIMPEZA DE ESTRADAS RURAIS,0,0,0,0,1,0,39,1,41
Secretaria de Obras e Servicos Publicos Desassoreamento de Corregos,0,0,0,0,0,0,7,0,7
Secretaria de Obras e Servicos Publicos ECOPONTO,0,0,0,0,8,0,13,0,21
Secretaria de Obras e Servicos Publicos ENTULHO REMOCAO,10,0,0,0,0,0,249,0,259
Secretaria de Obras e Servicos Publicos FECHAMENTO DE TERRENO CASA,0,0,0,0,0,0,26,0,26
Secretaria de Obras e Servicos Publicos FECHAMENTO DE TERRENO PUBLICO,0,0,0,0,1,0,4,3,8
Secretaria de Obras e Servicos Publicos FIOS CAIDOS,0,0,0,0,0,0,82,0,82
Secretaria de Obras e Servicos Publicos FISCALIZACAO DE PROPAGANDA,1,0,0,0,0,0,24,0,25
Secretaria de Obras e Servicos Publicos GUIAS E SARJETAS MANUTENCAO,0,0,0,0,0,0,73,0,73
Secretaria de Obras e Servicos Publicos ILUMINACAO PONTES E PASSARELAS,0,0,0,0,0,0,55,2,57
Secretaria de Obras e Servicos Publicos ILUMINACAO ACESA RUAS E AVENIDAS,0,0,0,0,0,0,222,0,222
Secretaria de Obras e Servicos Publicos ILUMINACAO APAGADA RUAS E AVENIDAS,0,0,0,0,5,0,8404,4,8413
Secretaria de Obras e Servicos Publicos ILUMINACAO OSCILANTE RUAS E AVENIDAS,0,0,0,0,0,0,566,0,566
Secretaria de Obras e Servicos Publicos ILUMINACAO PRACAS,2,0,0,0,0,0,726,1,729
Secretaria de Obras e Servicos Publicos IMOVEL ABANDONADO PARTICULAR,3,0,0,0,1,0,218,0,222
Secretaria de Obras e Servicos Publicos LIMPEZA DE TERRENO PARTICULAR,7,0,0,0,0,0,886,0,893
Secretaria de Obras e Servicos Publicos LIXEIRAS E PLACAS DE LIXO,1,0,0,0,0,0,40,0,41
Secretaria de Obras e Servicos Publicos MANUTENCAO ELETRICA EM ESCOLA,0,0,0,0,0,0,40,0,40
Secretaria de Obras e Servicos Publicos Manutencao Eletrica em Escolas,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos MANUTENCOES PONTES E PASSARELAS,0,0,0,0,0,0,30,0,30
Secretaria de Obras e Servicos Publicos Outros,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PODA DE ARVORE AREA URBANA,11,0,0,2,0,0,1140,0,1153
Secretaria de Obras e Servicos Publicos PODA DE ARVORE PRACAS,0,0,0,0,0,0,62,0,62
Secretaria de Obras e Servicos Publicos PODA DE ARVORE CESTO,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PODA DE ARVORE ELEKTRO,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PRACA MANUTENCAO BRINQUEDOS BEBEDOUROS E BANCOS,2,0,0,0,0,0,100,13,115
Secretaria de Obras e Servicos Publicos SARJETAO,0,0,0,0,0,0,41,1,42
Secretaria de Obras e Servicos Publicos TAMPAS E GRELHAS SOLTAS E AFUNDADAS,1,0,0,0,1,0,95,1,98
Secretaria de Obras e Servicos Publicos TAPA BURACO,0,0,0,0,0,0,502,2,504
Secretaria de Planejamento e Urbanismo OBRAS PARTICULARES IRREGULARES URB,1,0,0,0,1,0,169,0,171
Secretaria de Planejamento e Urbanismo OCUPACAO DE AREA PUBLICA,11,0,0,0,4,0,16,1,32
Secretaria de Planejamento e Urbanismo Outros,0,0,0,0,0,0,0,0,0
Secretaria de Planejamento e Urbanismo REGULARIZACAO FUNDIARIA,0,0,0,0,0,0,11,1,12
Secretaria de Protecao Animal ANIMAIS DE GRANDE PORTE,1,0,0,0,0,0,206,0,207
Secretaria de Protecao Animal Outros,0,0,0,0,0,0,0,0,0
Secretaria de Saude ACUMULADORES A PARTICULAR,2,0,0,0,0,0,173,0,175
Secretaria de Saude Alimentos Estragados,52,0,0,0,0,0,1,0,53
Secretaria de Saude Alimentos Mal Armazenados,20,0,0,0,0,0,0,0,20
Secretaria de Saude ALIMENTOS OU MEDICAMENTOS ESTRAGADOS,0,0,0,0,0,0,0,0,0
Secretaria de Saude ANIMAIS PEC OU SINAN,2,0,0,0,0,0,225,0,227
Secretaria de Saude ANIMAIS POMBOS E MORCEGOS,0,0,0,0,0,0,65,0,65
Secretaria de Saude DENUNCIA MOSQUITO DA DENGUE,57,0,0,0,0,0,252,0,309
Secretaria de Saude Denuncia Ouvidoria Saude,78,0,0,1,0,0,0,0,79
Secretaria de Saude Elogio Ouvidoria Saude,0,0,7,0,0,0,0,0,7
Secretaria de Saude Estabelecimentos Clandestinos,21,0,0,0,1,0,11,0,33
Secretaria de Saude Informacao Ouvidoria Saude,0,0,0,0,0,0,0,0,0
Secretaria de Saude Medicamentos Mal Armazenados,3,0,0,0,0,0,0,0,3
Secretaria de Saude Medicamentos Vencidos,4,0,0,0,0,0,0,0,4
Secretaria de Saude Outros,0,0,0,2,2,0,4,0,8
Secretaria de Saude PROBLEMAS DE HIGIENE,0,0,0,0,0,0,0,0,0
Secretaria de Saude Problemas de Higiene em Area Externa exceto criacao de animais,0,0,0,0,0,0,5,0,5
Secretaria de Saude Problemas de Higiene em Estabelecimentos Diversos,0,0,0,0,0,0,63,0,63
Secretaria de Saude Reclamacao Ouvidoria Saude,0,0,0,0,88,0,2,1,91
Secretaria de Saude SAUDE DO TRABALHADOR,0,0,0,0,0,0,25,0,25
Secretaria de Saude Solicitacao Ouvidoria Saude,0,0,0,0,0,0,0,0,0
Secretaria de Saude Sugestao Ouvidoria Saude,0,0,0,0,1,0,1,11,13
Secretaria de Seguranca Publica e Defesa Civil DEMANDAS PARA COMANDO,173,0,1,0,27,0,178,8,387
Secretaria de Seguranca Publica e Defesa Civil Denuncia Guarda Municipal,42,0,0,0,0,0,4,0,46
Secretaria de Seguranca Publica e Defesa Civil Elogio Guarda Municipal,0,0,2,0,0,0,0,0,2
Secretaria de Seguranca Publica e Defesa Civil Informacao Guarda Municipal,1,0,0,1,0,0,0,1,3
Secretaria de Seguranca Publica e Defesa Civil Moradores de Rua e Pedintes Defesa Civil,7,0,0,0,0,0,108,0,115
Secretaria de Seguranca Publica e Defesa Civil Outros,0,0,0,0,0,0,0,0,0
Secretaria de Seguranca Publica e Defesa Civil Reclamacao Guarda Municipal,0,0,0,0,10,0,1,0,11
Secretaria de Seguranca Publica e Defesa Civil Solicitacao Guarda Municipal,0,0,0,0,0,0,22,0,22
Secretaria de Seguranca Publica e Defesa Civil Sugestao Guarda Municipal,0,0,0,0,0,0,0,0,0
Secretaria de Tecnologia e Eficiencia Integracao eOuve x 1Doc,5,0,1,4,0,0,38,1,49
Secretaria de Tecnologia e Eficiencia Teste,0,0,1,0,0,0,1,0,2
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR BURACO,0,0,0,0,0,0,26,0,26
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR CONSTRUCAO,0,0,0,0,1,0,38,0,39
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR OBSTACULO,3,0,0,0,0,0,256,1,260
Secretaria dos Transportes e Mobilidade Urbana CARRO ABANDONADO,6,0,0,0,2,0,341,0,349
Secretaria dos Transportes e Mobilidade Urbana MANUTENCAO SINALIZACAO DE TRANSITO PLACAS,1,0,0,1,0,0,151,0,153
Secretaria dos Transportes e Mobilidade Urbana Outros,0,0,0,0,0,0,0,0,0
Secretaria dos Transportes e Mobilidade Urbana SUGESTAO DE TRANSITO,9,0,2,0,9,0,12,449,481
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO ABRIGO,0,0,0,0,0,0,59,1,60
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO HORARIOS,0,0,0,0,0,0,20,0,20
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO ONIBUS,0,0,0,0,0,0,26,1,27
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO RECLAMACAO,1,0,0,0,72,0,2,0,75
