assunto,aberto,agendado,cancelado,concluido,em_andamento,pendente,total
Animais Outros,0,0,0,0,0,0,0
Denuncia Descarte Irregular DESCARTE IRREGULAR DE LIXO E ENTULHO,61,0,0,227,33,1,322
Denuncia Descarte Irregular Outros,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Capacitismo,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Homofobia,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Intolerancia Religiosa,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Outros,0,0,0,1,0,0,1
Direitos Humanos Denuncias de discriminacao e violencias Racismo ou injuria racial,0,0,0,1,0,0,1
Direitos Humanos Denuncias de discriminacao e violencias Transfobia,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Violencia contra a Mulher,0,0,0,0,0,0,0
Direitos Humanos Denuncias de discriminacao e violencias Xenofobia,0,0,0,0,0,0,0
LGPD Lei Geral de Protecao de Dados Denuncia de vazamento de dados da LGPD,0,0,40,7,0,0,47
PAT Posto de Atendimento do Trabalhador Outros,0,0,0,0,0,0,0
PAT Posto de Atendimento do Trabalhador Solicitar informacoes ao PAT,0,0,0,0,0,0,0
Secretaria de Agronegocios e Areas Rurais ALVARA DE AMBULANTE,1,0,0,19,1,0,21
Secretaria de Agronegocios e Areas Rurais ESTRADAS RURAIS MANUTENCAO E LIMPEZA,1,0,65,160,83,1,310
Secretaria de Agronegocios e Areas Rurais Outros,0,0,0,0,0,0,0
Secretaria de Comunicacao ACESSO A INFORMACAO,0,0,0,1,0,0,1
Secretaria de Comunicacao ATENDIMENTO 156,0,0,0,0,0,0,0
Secretaria de Comunicacao DENUNCIA OUVIDORIA,1,0,1,42,0,0,44
Secretaria de Comunicacao ELOGIO OUVIDORIA,0,0,0,15,0,0,15
Secretaria de Comunicacao ORIENTACAO GERAL,0,0,9,10276,0,0,10285
Secretaria de Comunicacao RECLAMACAO OUVIDORIA,0,0,3,113,4,0,120
Secretaria de Comunicacao SUGESTAO OUVIDORIA,0,0,2,35,0,0,37
Secretaria de Esportes e Lazer SUGESTAO PARA ESPORTES,4,0,1,93,1,0,99
Secretaria de Fazenda ALVARA DE FUNCIONAMENTO,37,0,4,454,0,0,495
Secretaria de Fazenda ALVARA DE TRAILERS,0,0,0,43,0,0,43
Secretaria de Fazenda FISCALIZACAO DE OUTDOOR,0,0,0,12,0,0,12
Secretaria de Fazenda Outros,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento ARVORE EM AREA PUBLICA,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento COMERCIO DE CEROL,2,0,0,0,0,0,2
Secretaria de Meio Ambiente e Saneamento DENUNCIA DE PODA E REMOCAO IRREGULAR E DESMATAMENTO DE ARVORES,9,0,0,59,0,0,68
